,imgUrl,labels,score,likeCount,commentCount,caption,normalizedLikeCount,normalizedCommentCount,engagementScore,engagement
10,https://www.instagram.com/p/Ckn3Z8sgmmU/media/?size=l,"['Plant', 'Sky', 'People in nature', 'Natural landscape', 'Wood', 'Tree', 'Trunk', 'Atmospheric phenomenon', 'Grass', 'Landscape']","[0.9571269154548645, 0.910253643989563, 0.897146999835968, 0.8920885324478149, 0.8731969594955444, 0.8603528738021851, 0.8520723581314087, 0.8201977014541626, 0.7970029711723328, 0.7809926271438599]",71195,424,"Photo by National Geographic on November 06, 2022. May be an image of 1 person, standing, nature and tree.",0.07429069318501977,0.00879704552056102,0.034994504586344524,0
11,https://www.instagram.com/p/Ckn3Z8sgmmU/media/?size=l,"['Plant', 'Sky', 'People in nature', 'Natural landscape', 'Wood', 'Tree', 'Trunk', 'Atmospheric phenomenon', 'Grass', 'Landscape']","[0.9571269154548645, 0.910253643989563, 0.897146999835968, 0.8920885324478149, 0.8731969594955444, 0.8603528738021851, 0.8520723581314087, 0.8201977014541626, 0.7970029711723328, 0.7809926271438599]",71195,424,"Photo by National Geographic on November 06, 2022. May be an image of 1 person, standing, nature and tree.",0.07429069318501977,0.00879704552056102,0.034994504586344524,0
12,https://www.instagram.com/p/Ckn3Z8sgmmU/media/?size=l,"['Plant', 'Sky', 'People in nature', 'Natural landscape', 'Wood', 'Tree', 'Trunk', 'Atmospheric phenomenon', 'Grass', 'Landscape']","[0.9571269154548645, 0.910253643989563, 0.897146999835968, 0.8920885324478149, 0.8731969594955444, 0.8603528738021851, 0.8520723581314087, 0.8201977014541626, 0.7970029711723328, 0.7809926271438599]",71195,424,"Photo by National Geographic on November 06, 2022. May be an image of 1 person, standing, nature and tree.",0.07429069318501977,0.00879704552056102,0.034994504586344524,0
13,https://www.instagram.com/p/Ckn3Z8sgmmU/media/?size=l,"['Plant', 'Sky', 'People in nature', 'Natural landscape', 'Wood', 'Tree', 'Trunk', 'Atmospheric phenomenon', 'Grass', 'Landscape']","[0.9571269154548645, 0.910253643989563, 0.897146999835968, 0.8920885324478149, 0.8731969594955444, 0.8603528738021851, 0.8520723581314087, 0.8201977014541626, 0.7970029711723328, 0.7809926271438599]",71195,424,"Photo by National Geographic on November 06, 2022. May be an image of 1 person, standing, nature and tree.",0.07429069318501977,0.00879704552056102,0.034994504586344524,0
14,https://www.instagram.com/p/Ckn3Z8sgmmU/media/?size=l,"['Plant', 'Sky', 'People in nature', 'Natural landscape', 'Wood', 'Tree', 'Trunk', 'Atmospheric phenomenon', 'Grass', 'Landscape']","[0.9571269154548645, 0.910253643989563, 0.897146999835968, 0.8920885324478149, 0.8731969594955444, 0.8603528738021851, 0.8520723581314087, 0.8201977014541626, 0.7970029711723328, 0.7809926271438599]",71195,424,"Photo by National Geographic on November 06, 2022. May be an image of 1 person, standing, nature and tree.",0.07429069318501977,0.00879704552056102,0.034994504586344524,0
15,https://www.instagram.com/p/Ckn3Z8sgmmU/media/?size=l,"['Plant', 'Sky', 'People in nature', 'Natural landscape', 'Wood', 'Tree', 'Trunk', 'Atmospheric phenomenon', 'Grass', 'Landscape']","[0.9571269154548645, 0.910253643989563, 0.897146999835968, 0.8920885324478149, 0.8731969594955444, 0.8603528738021851, 0.8520723581314087, 0.8201977014541626, 0.7970029711723328, 0.7809926271438599]",71195,424,"Photo by National Geographic on November 06, 2022. May be an image of 1 person, standing, nature and tree.",0.07429069318501977,0.00879704552056102,0.034994504586344524,0
16,https://www.instagram.com/p/Ckn3Z8sgmmU/media/?size=l,"['Plant', 'Sky', 'People in nature', 'Natural landscape', 'Wood', 'Tree', 'Trunk', 'Atmospheric phenomenon', 'Grass', 'Landscape']","[0.9571269154548645, 0.910253643989563, 0.897146999835968, 0.8920885324478149, 0.8731969594955444, 0.8603528738021851, 0.8520723581314087, 0.8201977014541626, 0.7970029711723328, 0.7809926271438599]",71195,424,"Photo by National Geographic on November 06, 2022. May be an image of 1 person, standing, nature and tree.",0.07429069318501977,0.00879704552056102,0.034994504586344524,0
17,https://www.instagram.com/p/Ckl_O4mAoSe/media/?size=l,"['Hunting', 'Deer hunting', 'Plant', 'Tree', 'Reptile', 'Sky', 'Python', 'Military camouflage', 'Marines', 'Terrestrial animal']","[0.9432001113891602, 0.9409105181694031, 0.907650887966156, 0.838777482509613, 0.8219894170761108, 0.7652952671051025, 0.7329486608505249, 0.7151923179626465, 0.7097880840301514, 0.7010871767997742]",152590,800,"Photo by National Geographic on November 05, 2022. May be an image of 1 person and outdoors.",0.15922490165183184,0.01659819909539815,0.07364888011797163,1
18,https://www.instagram.com/p/Cklc5eYgXtA/media/?size=l,"['Human body', 'Wood', 'Gesture', 'Bedrock', 'Sculpture', 'Plant', 'Tree', 'Trunk', 'Tints and shades', 'Art']","[0.8853908777236938, 0.8645243644714355, 0.852604866027832, 0.8316953778266907, 0.8207274675369263, 0.8154075145721436, 0.8102914690971375, 0.7999816536903381, 0.7731891870498657, 0.7728525400161743]",139731,641,"Photo by National Geographic on November 05, 2022.",0.14580676802354095,0.013299307025187767,0.06630229142452904,1
19,https://www.instagram.com/p/CklLv5xgAW8/media/?size=l,"['Shorts', 'Sneakers', 'Recreation', 'Leisure', 'Hat', 'Competition event', 'Performing arts', 'Entertainment', 'Team', 'Event']","[0.8760702013969421, 0.8044407367706299, 0.7867101430892944, 0.785125732421875, 0.7636759877204895, 0.7606666088104248, 0.7603330016136169, 0.747054398059845, 0.7467118501663208, 0.7402830123901367]",62527,487,,0.06524579215927707,0.010104153699323623,0.03216080908330501,0
